X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-8249826.34828906,4949127.14823254,1633403,Popeyes Louisiana Kitchen,2506 Hylan Blvd,,Staten Island,NY,10306,4366,RICHMOND,Restaurant Meals Program,40.570034,-74.109451,,,495
-8223781.70626459,4987254.36993,1633408,Agramonte Grocery Store Corp.,1208 Stratford Ave,,Bronx,NY,10472,2601,BRONX,Convenience Store,40.829697,-73.875488,,,496
-8231225.86325292,4980915.69175994,1633702,Metro Cafe & Grill Corp,1965 1st Ave,,New York,NY,10029,6420,NEW YORK,Convenience Store,40.786598,-73.94236,,,497
-8225351.19976529,4986844.64852807,1622120,Las 3's R Deli Grocery Corp.,1001 East 167th Street,,Bronx,NY,10459,    ,BRONX,Other,40.826912,-73.889587,,,498
-8774316.03284541,5292585.8982816,1626661,Freshfix,1500 Clinton St,,Buffalo,NY,14206,3015,ERIE,Other,42.872505,-78.821022,,,499
-8214820.8212142,4998985.7348467,1148388,La Guadalupe Grocery Store Inc,231 Union Ave,,New Rochelle,NY,10801,6032,WESTCHESTER,Grocery Store,40.909389,-73.794991,,,525
-8153054.53383061,4974624.91107937,968444,7 Eleven Store #11207c,1375 Brentwood Rd,,Bay Shore,NY,11706,5249,SUFFOLK,Convenience Store,40.743797,-73.240135,,,527
-8215992.79281328,4968513.06024579,1631762,90-47 Deli Grocery Corp,9047 149th St,,Jamaica,NY,11435,3948,QUEENS,Convenience Store,40.702187,-73.805519,,,528
-8246003.63697522,4957255.57327208,1630239,Bay Best Deli Inc.,680 Bay St,,Staten Island,NY,10304,3830,RICHMOND,Convenience Store,40.625477,-74.075111,,,532
-8230942.22119038,4966373.41995108,1654353,Coastline Fish I'm Blue,270 Marcus Garvey Blvd,,Brooklyn,NY,11221,1510,KINGS,Specialty Store,40.687614,-73.939812,,,551
-8232237.42346576,4966797.40535775,1640602,Popeyes Louisiana Kitchen,243 Nostrand Ave,,Brooklyn,NY,11205,4925,KINGS,Restaurant Meals Program,40.690502,-73.951447,,,564
-8658612.44654623,5281616.05195932,1652267,Quicklee's 2,4310 Lakeville Rd,,Geneseo,NY,14454,9761,LIVINGSTON,Convenience Store,42.800243,-77.781639,,,566
-8429260.56570637,5487216.42781846,1657147,Martin's Country Store (philadelphia),32672 US Route 11,,Philadelphia,NY,13673,2503,JEFFERSON,Convenience Store,44.140537,-75.721336,,,580
-8227955.18529392,4988682.71826914,1623860,Briella Deli & Grocery Corp,1420 Grand Concourse,,Bronx,NY,10456,1110,BRONX,Convenience Store,40.839405,-73.912979,,,581
-8216867.54137193,5019937.32957224,1627353,Bhavik Grocery,130 E Main St,,Elmsford,NY,10523,3301,WESTCHESTER,Grocery Store,41.051476,-73.813377,,,582
-8232419.98743066,5019058.91173533,1625134,Associated Supermarket,1 Orangetown Shopping Ctr,,Orangeburg,NY,10962,2143,ROCKLAND,Supermarket,41.045525,-73.953087,,,583
-8138264.8489228,4991565.50570186,1625005,Healthy Meals Direct Llc,2673 Middle Country Rd,,Lake Grove,NY,11755,2110,SUFFOLK,Other,40.858994,-73.107277,,,584
-8216177.91712647,4970341.51465096,1626806,Parsons Halal Meat & Mini Supermarket,83-39 Parsons Blvd,,Jamaica,NY,11432,1635,QUEENS,Grocery Store,40.714638,-73.807182,,,591
-8222271.65737198,4987404.1395343,1624790,Ez Double Discounter Corp.,1207 White Plains Rd,,Bronx,NY,10472,4903,BRONX,Convenience Store,40.830715,-73.861923,,,647
-8229618.96640332,4992389.77844783,1625232,5B Deli & Grocery Corp,100 Thayer St,Unit E108,New York,NY,10040,    ,NEW YORK,Convenience Store,40.864594,-73.927925,,,692
-8225390.27290656,4962042.71555526,1631734,Sonic Drive In,805 Pennsylvania Ave,,Brooklyn,NY,11207,7705,KINGS,Restaurant Meals Program,40.658108,-73.889938,,,693
-8227241.73867743,4967012.48808249,1627935,Covert Food Corp,830 Knickerbocker Ave,,Brooklyn,NY,11207,1332,KINGS,Convenience Store,40.691967,-73.90657,,,694
-8346725.62356446,5489770.68295359,1630125,Home Town General Store LLC,4878 State Highway 3,,Star Lake,NY,13690,3109,ST LAWRENCE,Grocery Store,44.157001,-74.979912,,,696
