zip_code,borough,population,median_household_income,income_bracket,pct_below_poverty,poverty_tier
11422,Queens,32854,114697.0,Over $100k,8,Low (0-10%)
11423,Queens,28571,80054.0,$75k-$100k,10,Low (0-10%)
11426,Queens,19581,103533.0,Over $100k,7,Low (0-10%)
11427,Queens,24761,88980.0,$75k-$100k,12,Moderate (11-20%)
11428,Queens,18740,91296.0,$75k-$100k,9,Low (0-10%)
11429,Queens,27647,102880.0,Over $100k,9,Low (0-10%)
11432,Queens,62173,74096.0,$50k-$75k,15,Moderate (11-20%)
11433,Queens,37534,77519.0,$75k-$100k,12,Moderate (11-20%)
11434,Queens,66535,77598.0,$75k-$100k,12,Moderate (11-20%)
11435,Queens,57942,79710.0,$75k-$100k,14,Moderate (11-20%)
11436,Queens,21143,88047.0,$75k-$100k,12,Moderate (11-20%)
11691,Queens,66476,56135.0,$50k-$75k,21,High (21-30%)
11692,Queens,22497,49720.0,$30k-$50k,27,High (21-30%)
11693,Queens,12955,68449.0,$50k-$75k,18,Moderate (11-20%)
11694,Queens,20802,111011.0,Over $100k,12,Moderate (11-20%)
11697,Queens,4123,122667.0,Over $100k,5,Low (0-10%)
