street_address,zip_code,store_types,total_auth_count,deauth_count,address_history_years,churn_tier,store_names
8691 104th St,11418,Convenience Store | Small Grocery Store,3,2,13.7,Moderate,104 Candy Corp | Tienda La Familia Corp.
865 Hancock St,11233,Convenience Store | Small Grocery Store,3,2,14.8,Moderate,Hancock Deli | K Star Deli Corp | KING OF HANCOCK DELI
1030 Castle Hill Ave,10472,Small Grocery Store,3,3,25.3,Moderate,A & M Family Deli Grocery Inc | Castle Hill Deli Corp | HOUSE OF HEROES
1030 Nostrand Ave,11225,Convenience Store | Medium Grocery Store,3,2,19.3,Moderate,Night Line Grocery Corp | T & T Organic Market Inc | T & T Tobacco & Grocery Corp
15 Corson Ave,10301,Convenience Store | Medium Grocery Store,3,3,26,Moderate,15 Island Deli Grocery Inc. | Corson Ave. Deli Grocery Inc | ROGER'S DELI
1815 Gates Ave,11385,Combination Grocery/Other | Convenience Store,3,2,12.9,Moderate,DOLLAR GENERAL 19234 | Dollar Express Store 8761 | Family Dollar 8761
1816 Fulton St,11233,Small Grocery Store,3,3,20.4,Moderate,Al Pasha Supermarket | Fulton Deli Grocery | N & Y FOOD CORP
1814 Amsterdam Ave,10031,Convenience Store | Small Grocery Store,3,4,22.4,Moderate,DE LA ROSA GROCERY STORE | M & B DELI GROCERY STORE CORP | Savory Food & Grill Inc
8721 18th Ave,11214,Medium Grocery Store | Small Grocery Store,3,2,4.1,Moderate,American Halal Markets 2 | Hasnat Grocery & Halal Meat Corp | One Spot Grocery And Halal Meat Inc.
8712 19th Ave,11214,Combination Grocery/Other | Convenience Store,3,2,12.4,Moderate,J's Deli & Grocery Inc. | Public Grocery Deli Store Inc | S & A Grocery And Deli Corporation
871 E 220th St,10467,Convenience Store | Medium Grocery Store | Small Grocery Store,3,3,17.9,Moderate,871 Bronxwood Deli Grocery | M A N Bronxwood Deli Corp | Pichardo Grocery
8702 4th Ave,11209,Large Grocery Store | Medium Grocery Store,3,2,13,Moderate,Diprice Inc. | Garden Of Bay Ridge | Hkm Garden LLC DBA Garden Hills
8702 5th Ave,11209,Medium Grocery Store | Small Grocery Store,3,3,21.1,Moderate,Citistar Market 88 Inc. 0 | Ming Chao Grocery Store Inc | Sua Market Inc.
8702 Avenue L,11236,Convenience Store | Medium Grocery Store | Small Grocery Store,3,3,19.5,Moderate,Ave L Mini Market Inc | Canarsie One Stop Market Corp | Shop & Spot Corp I
870 Hunts Point Ave,10474,Convenience Store | Medium Grocery Store,3,3,15.9,Moderate,Dollar Goal Discount Inc | Dollar Goal Inc | Sam Stop Express Inc
87 Pitt St,10002,Convenience Store,3,4,12.1,Moderate,Excell Discount Grocery Corp | Farmers Convenience Corp | Farmers Deli And Grocery Corp
102-01 Jamaica Ave,11418,Small Grocery Store,3,3,20.1,Moderate,CIBAO GROCERY | Catalina Grocery Store | Millenium Deli Grocery Store
901 40th Ave,11101,Convenience Store | Small Grocery Store,3,2,16,Moderate,La Minita De Oro Grocery Inc | My Neighbors Grocery Inc. | My Neighbors Grocery Store
9004 Jamaica Ave,11421,Convenience Store | Small Grocery Store,3,3,17.6,Moderate,Nolasco & Sons Deli Inc | San Cecilio Place Inc | Seven Star Mini Deli Corp
900 Riverside Dr,10032,Convenience Store | Small Grocery Store,3,2,9.5,Moderate,Dylan's Delicious Deli Grocery Corp | E L U Deli Grocery Corp | Marcos Grocery & Deli Inc
900 Southern Blvd,10459,Combination Grocery/Other | Convenience Store,3,2,11.4,Moderate,Dollar Express Store 10705 | Dollar General 19211 | FAMILY DOLLAR STORE 10705
900 Hoe Ave,10459,Convenience Store,3,3,14.9,Moderate,Alnabil 83 Deli Grocery Inc | Jandinga Deli Grocery Store Corp | Yedelin Deli & Grocery 3 Corp
900 Hylan Blvd,10305,Convenience Store | Medium Grocery Store | Small Grocery Store,3,2,6.8,Moderate,Ariana Food Market Inc | Grasmere Deli & Grill | Iliria Food Market Inc
900 Allerton Ave,10469,Convenience Store | Small Grocery Store,3,2,17.5,Moderate,9 Ciento Deli And Grocery Corp | 9 Star Deli And Grocery Corp | 900 Lucky Four Deli Corp
1785 Monroe Ave,10457,Convenience Store | Small Grocery Store,3,3,21.9,Moderate,1785 Monroe Grocery Inc | GONZALEZ GROCERY | Lina's Grocery Deli  Corp
17802 Sayres Ave,11433,Medium Grocery Store | Small Grocery Store,3,3,18.9,Moderate,178-02 Grocery Corp | Kayvilin Mini Market | Sayres 178 Deli Grocery Inc
1776 Ocean Ave,11230,Medium Grocery Store | Small Grocery Store,3,4,21.6,Moderate,BELKA INTERNATIONAL FOOD INC | New Belka Inc | Ocean Farms Market Inc
1773 Lexington Ave,10029,Bakery Specialty | Convenience Store,3,3,16.5,Moderate,Lexpress Coffee Shop & Mini Mart Inc | Nemo Express Gourmet Corp | Yummy Gourmet Deli Inc
1506 Avenue H,11230,Convenience Store | Medium Grocery Store,3,2,27.6,Moderate,J.H. SUPERETTE INC | K-Squad Inc | Lee's Deli USA Inc
1502 College Point Blvd,11356,Convenience Store,3,3,33.9,Moderate,FERAS FOOD CORP | Shraddha 15 Inc/Supreme Foods | Shree Hari Supreme Inc
1020 Olmstead Ave,10472,Small Grocery Store,3,2,18.6,Moderate,Mirtha Food Corp | Pascual Food Corp. | Sugeidi Mini Grocery Store
102 Westervelt Ave,10301,Medium Grocery Store | Small Grocery Store,3,2,21.1,Moderate,Brighton Express Mart Corp | J.U. GROCERY STORE | V T G Inc
