fns_record_id,store_name,store_type,street_address,city,borough,zip_code,county,state,latitude,longitude
1647305,Speedway 7817,Convenience Store,3902 Queens Blvd,Long Island City,Queens,11104,QUEENS,NY,40.743725,-73.925949
245921,RITE AID 10577,Other,8222 18th Ave,Brooklyn,Brooklyn,11214,KINGS,NY,40.60902,-74.000694
246069,CVS PHARMACY  2436,Other,1346 Pennsylvania Ave,Brooklyn,Brooklyn,11239,KINGS,NY,40.647125,-73.882881
1654827,Taste Trail Gourmet Deli Corp,Convenience Store,411 Beach 30th St,Far Rockaway,Queens,11691,QUEENS,NY,40.597614,-73.763405
1654983,Fordham Deli And Grill Corp,Other,128 W Fordham Rd,Bronx,Bronx,10468,BRONX,NY,40.862747,-73.906792
266622,CVS PHARMACY  2041,Other,8302 Atlantic Ave,Ozone Park,Queens,11416,QUEENS,NY,40.685509,-73.857735
1650138,Bara Deli Corp,Convenience Store,3607 Bronxwood Ave,Bronx,Bronx,10469,BRONX,NY,40.878082,-73.859299
267134,PODKARPACIE POLISH DELI,Grocery Store,5020 12th Ave,Brooklyn,Brooklyn,11219,KINGS,NY,40.635448,-73.995491
267317,CVS PHARMADY  6055,Other,5830 Amboy Rd,Staten Island,Staten Island,10309,RICHMOND,NY,40.525631,-74.201614
268523,CVS PHARMACY 2434,Other,338 E 23rd St,New York,Manhattan,10010,NEW YORK,NY,40.737247,-73.979401
247673,White Mountain Farm Inc,Convenience Store,8406 20th Ave,Brooklyn,Brooklyn,11214,KINGS,NY,40.605614,-73.997231
1587222,Canarsie Food Supermarket Corporation,Grocery Store,10421 Glenwood Rd,Brooklyn,Brooklyn,11236,KINGS,NY,40.649029,-73.896614
1589577,Chelsea Corner Grocery & Deli Corp.,Convenience Store,245 9th Ave,New York,Manhattan,10001,NEW YORK,NY,40.747761,-74.000633
1588616,Fushimi Market LLC,Grocery Store,838 6th Ave,New York,Manhattan,10001,NEW YORK,NY,40.746746,-73.989929
1607767,Space Deli Convenience Corp,Convenience Store,11302 Jamaica Ave,Richmond Hill,Queens,11418,QUEENS,NY,40.697788,-73.835464
272184,CVS PHARMACY  2716,Other,129 Fulton St,New York,Manhattan,10038,NEW YORK,NY,40.71022,-74.007507
234967,RITE AID  4856,Other,12202 Liberty Ave,S Richmond Hl,Queens,11419,QUEENS,NY,40.68721,-73.821457
272223,Ft. Hamilton Market Corp,Grocery Store,5110 Fort Hamilton Pkwy,Brooklyn,Brooklyn,11219,KINGS,NY,40.637184,-73.999466
236011,GOOD HARVEST COOPERATIVE INC,Other,58 E 4th St,New York,Manhattan,10003,NEW YORK,NY,40.726715,-73.990746
269334,2214 National Bakery Inc,Other,2214 Westchester Ave,Bronx,Bronx,10462,BRONX,NY,40.834255,-73.851112
271265,MOSHES FRT & GRO CTR INC,Specialty Store,4807 16th Ave,Brooklyn,Brooklyn,11204,KINGS,NY,40.631409,-73.985077
269871,Rite Aid 3844,Other,950 Southern Blvd,Bronx,Bronx,10459,BRONX,NY,40.822014,-73.891502
239383,APPEL'S SUPERETTE INC,Grocery Store,4507 14th Ave,Brooklyn,Brooklyn,11219,KINGS,NY,40.635769,-73.987732
238004,DVJ Inc/Tonys Health Food,Grocery Store,2923 Glenwood Rd,Brooklyn,Brooklyn,11210,KINGS,NY,40.634121,-73.947975
286535,LA GRANJ LIVE POULTRY NO.2 INC,Specialty Store,1355 Amsterdam Ave,New York,Manhattan,10027,NEW YORK,NY,40.813972,-73.955795
238237,4 Star Vegetable & Food Corp.,Grocery Store,8778 Sutphin Blvd,Jamaica,Queens,11435,QUEENS,NY,40.705151,-73.809563
286652,YEMSANALI GROCERY INC,Convenience Store,881 10TH AVE,NEW YORK,Manhattan,10019,NEW YORK,NY,40.769459,-73.988541
1645600,Best Court Side Deli Corp,Grocery Store,909 Sheridan Ave,Bronx,Bronx,10451,BRONX,NY,40.827461,-73.9207
284550,NOSTRAND MEAT CORP,Grocery Store,1889 Nostrand Ave,Brooklyn,Brooklyn,11226,KINGS,NY,40.63958,-73.948303
237360,NEW EASTERN II FRUIT & VEG INC,Grocery Store,231 Neptune Ave,Brooklyn,Brooklyn,11235,KINGS,NY,40.581753,-73.96225
238518,Bochners Grocery LLC,Grocery Store,5001 16th Ave,Brooklyn,Brooklyn,11204,KINGS,NY,40.63036,-73.986168
284808,1514 Catering Corp,Grocery Store,1514 Crosby Ave,Bronx,Bronx,10461,BRONX,NY,40.842709,-73.830139
286106,Harlem Health Food Gourmet Deli Inc.,Convenience Store,2339 1st Ave,New York,Manhattan,10035,NEW YORK,NY,40.798409,-73.933693
310374,Schreibers Homestyle Bakery Inc,Other,3008 Avenue M,Brooklyn,Brooklyn,11210,KINGS,NY,40.619526,-73.945152
231312,CVS  2445,Other,540 Amsterdam Ave,New York,Manhattan,10024,NEW YORK,NY,40.78812,-73.974915
231549,BIG G DELI INC.,Grocery Store,3386 Jerome Ave,Bronx,Bronx,10467,BRONX,NY,40.880413,-73.883636
231747,Carniceria La Flor,Grocery Store,1623 Saint Nicholas Ave,New York,Manhattan,10040,NEW YORK,NY,40.85577,-73.929253
261127,TREMONT FISH CORP,Specialty Store,725 E Tremont Ave,Bronx,Bronx,10457,BRONX,NY,40.845104,-73.890213
1646933,Africore Enterprises,Convenience Store,1462 Southern Blvd,Bronx,Bronx,10460,BRONX,NY,40.832527,-73.890427
1643071,Bodega Lidio Corp.,Grocery Store,559 W 158th St,New York,Manhattan,10032,NEW YORK,NY,40.834545,-73.943817
228585,Arn Deli Supermarket Inc,Grocery Store,8701 111th St,Richmond Hill,Queens,11418,QUEENS,NY,40.696804,-73.837067
229738,Schreiber's Homestyle Bakery Inc,Specialty Store,424 Avenue M,Brooklyn,Brooklyn,11230,KINGS,NY,40.61673,-73.970604
